Author Name,Affiliation,Google Scholar Link,Research Interests,Email Domain,Citations,Nation,,,,,
Pamela Reinagel,"Associate Professor of Neurobiology, UCSD",https://scholar.google.com/citations?hl=en&user=DgAhOp4AAAAJ,"neurobiology, computational neuroscience, vision, behavior, decision making",ucsd.edu,4299,us,,,,,
Aleksandrina Goeva,University of Toronto,https://scholar.google.com/citations?hl=en&user=-AjMa60AAAAJ,"statistics, machine learning, computational neuroscience",broadinstitute.org,4274,us,,,,,
Thomas Trappenberg,"Professor of Computer Science, Dalhousie University",https://scholar.google.com/citations?hl=en&user=EwkaTYEAAAAJ,"Computational Neuroscience, Machine learning, Neurocognitve Robotics",cs.dal.ca,4253,ca,,,,,
Taiga Abe,"Graduate Student, Columbia University",https://scholar.google.com/citations?hl=en&user=zQsc0mcAAAAJ,"Computational Neuroscience, Machine Learning, Statistics, Motor Control, Ensemble Methods",columbia.edu,4242,us,,,,,
Alberto Mazzoni,"Associate Professor in Bioengineering, The BioRobotics Institute, Scuola Superiore Sant' ",https://scholar.google.com/citations?hl=en&user=b4tE6ScAAAAJ,"Neuroengineering, Biomedical Engineering, Computational Neuroscience, Neuro-robotics, Systems",santannapisa.it,4237,it,,,,,
Fabio Stefanini,Research Scientist at Meta Reality Labs,https://scholar.google.com/citations?hl=en&user=PEQDjGsAAAAJ,"computational neuroscience, neuromorphic engineering, machine learning",fb.com,4237,us,,,,,
Izhar Bar-Gad,"Professor at Gonda Brain Research Center, Bar Ilan University",https://scholar.google.com/citations?hl=en&user=x4nJPJAAAAAJ,"System Neurophysiology, Computational neuroscience",biu.ac.il,4237,il,,,,,
Donald H. Edwards,"Regents' Professor of Neuroscience, Georgia State University",https://scholar.google.com/citations?hl=en&user=1FcrZgsAAAAJ,"neuroethology, neuromechanics, computational neuroscience",gsu.edu,4217,us,,,,,
David GT Barrett,"Google DeepMind and St Johns College, Cambridge",https://scholar.google.com/citations?hl=en&user=Whh_d2EAAAAJ,"Machine Learning, Deep Learning, Computational Neuroscience, Healthcare",cam.ac.uk,4206,uk,,,,,
Zhengjia Dai,Sun Yat-sen University,https://scholar.google.com/citations?hl=en&user=iUt1MWYAAAAJ,"Computational neuroscience, Data mining, Human brain connectome",mail.sysu.edu.cn,4168,cn,,,,,
Alan A Stocker,University of Pennsylvania,https://scholar.google.com/citations?hl=en&user=Bi-YHlwAAAAJ,"Computational Neuroscience, Perception, Cognition, Probabilistic Models",psych.upenn.edu,4158,us,,,,,
Elizabeth DuPre,CRIUGM,https://scholar.google.com/citations?hl=en&user=9FzK0bcAAAAJ,"computational neuroscience, cognitive neuroscience, neuroinformatics",stanford.edu,4147,us,,,,,
Andrea Brovelli,"Institut de Neurosciences de la Timone (INT), CNRS & Aix-Marseille Universit√©, France",https://scholar.google.com/citations?hl=en&user=vsskO0AAAAAJ,"Cognitive Neuroscience, Computational Neuroscience, Human Learning, Functional Connectivity, Brain",univ-amu.fr,4138,fr,,,,,
Ehren Newman,Indiana University,https://scholar.google.com/citations?hl=en&user=0LtjqCYAAAAJ,"Behavioral neuroscience, Systems neuroscience, Computational neuroscience",iu.edu,4134,us,,,,,
Afshin Shoeibi,"Researcher, School of Computing, Macquarie University, Australia",https://scholar.google.com/citations?hl=en&user=d-65NQwAAAAJ,"Biomedical Signal Processing, Computational Neuroscience, Deep Learning, Neuroimaging, NeuroAI",mq.edu.au,4130,au,,,,,
Ruth Fong,Princeton University,https://scholar.google.com/citations?hl=en&user=39cUD3gAAAAJ,"Interpretability, Explainable AI, Computer Vision, Machine Learning, Computational Neuroscience",cs.princeton.edu,4122,us,,,,,
Nicholas Cain,Google,https://scholar.google.com/citations?hl=en&user=tqhLlfoAAAAJ,"Computational Neuroscience, Machine Learning",google.com,4108,us,,,,,
"Alyson ""Allie"" K. Fletcher","Associate Professor, UCLA",https://scholar.google.com/citations?hl=en&user=MCClSvsAAAAJ,"Statistics, computational neuroscience, applied mathematics, machine learning, information theory",g.ucla.edu,4101,us,,,,,
Mikko Juusola,University of Sheffield,https://scholar.google.com/citations?hl=en&user=9XUdVR8AAAAJ,"Neural Coding, Drosophila, Vision, Decision-Making, Computational Neuroscience",sheffield.ac.uk,4097,uk,,,,,
Fabian Chersi,University College London,https://scholar.google.com/citations?hl=en&user=z0TwEAQAAAAJ,"Computational Neuroscience, Machine Learning, Artificial Intelligence, Edge Computing",ucl.ac.uk,4074,uk,,,,,
Hugues Berry,INRIA Lyon,https://scholar.google.com/citations?hl=en&user=Sl85URsAAAAJ,"Computational cell biology, computational neuroscience",inria.fr,4071,fr,,,,,
Scott Linderman,Stanford University,https://scholar.google.com/citations?hl=en&user=6mD3I24AAAAJ,"Machine Learning, Computational Neuroscience",stanford.edu,4066,us,,,,,
PK Douglas,"UCL, IACS",https://scholar.google.com/citations?hl=en&user=Bi3cswkAAAAJ,Computational Neuroscience,g.ucla.edu,4061,us,,,,,
Zeju Li,"Post-Doctoral Researcher, University of Oxford",https://scholar.google.com/citations?hl=en&user=zeuflXEAAAAJ,"Medical Image Analysis, Machine Learning, Computational Neuroscience",ndcn.ox.ac.uk,4057,uk,,,,,
Simon R. Schultz,Imperial College London,https://scholar.google.com/citations?hl=en&user=OGhN4WkAAAAJ,"Neuroscience, Neurotechnology, Computational Neuroscience, Neural Engineering, Neurophotonics",imperial.ac.uk,4055,uk,,,,,
Aman B. Saleem,"Professor of Systems Neuroscience & Sir Henry Dale Fellow, University College London",https://scholar.google.com/citations?hl=en&user=hV1NqTkAAAAJ,"Neuroscience, Computational Neuroscience, Visual Neuroscience, Behavioural Neuroscience, Spatial Behaviour",ucl.ac.uk,4055,uk,,,,,
Anthony S. Maida,"School of Computing and Informatics, UL Lafayette",https://scholar.google.com/citations?hl=en&user=yCwFNtMAAAAJ,"Neurocomputing, Computational Neuroscience, AI",louisiana.edu,4042,us,,,,,
Virginia de Sa,"Professor of Cognitive Science, Associate Director of the Halicioglu Data Science Institute ",https://scholar.google.com/citations?hl=en&user=UVzXKcIAAAAJ,"machine learning,  visual perception, brain-computer interfaces, computational neuroscience",ucsd.edu,4035,us,,,,,
Zhaofei Yu,Peking University,https://scholar.google.com/citations?hl=en&user=qaUgD50AAAAJ,"Brain-inspired Computing, Spiking Neural Networks, Computational Neuroscience",pku.edu.cn,4034,cn,,,,,
Yasser Roudi,King's College London,https://scholar.google.com/citations?hl=en&user=-SXPaeYAAAAJ,"Disordered Systems, Computational Neuroscience, Inference",kcl.ac.uk,4007,uk,,,,,
Fan Zhang,"Professor, University of Electronic Science and Technology of China; Harvard Medical ",https://scholar.google.com/citations?hl=en&user=kTd978wAAAAJ,"Medical Image Analysis, Machine Learning, Diffusion MRI, Tractography, Computational Neuroscience",uestc.edu.cn,3976,cn,,,,,
Anne B. Sereno,"Professor of Psychology and Biomedical Engineering, Purdue University",https://scholar.google.com/citations?hl=en&user=piOEuHUAAAAJ,"attention, memory, eye movements, neuroscience, computational neuroscience",purdue.edu,3966,us,,,,,
Adrian G Palacios,Universidad de Valparaiso,https://scholar.google.com/citations?hl=en&user=nLIQ2vYAAAAJ,"Sensory Biology, Computational Neuroscience, Ecology",uv.cl,3949,cl,,,,,
Andrew Philippides,"Professor of Biorobotics, University of Sussex",https://scholar.google.com/citations?hl=en&user=ZKeV-aQAAAAJ,"BIorobotics, Insect Navigation, Neuroethology, Computational Neuroscience, Neuromodulation",sussex.ac.uk,3944,uk,,,,,
Pierre Yger,CR at Lille Neuroscience and Cognition,https://scholar.google.com/citations?hl=en&user=8R2H1LAAAAAJ,"Computational Neuroscience, plasticity in spiking neuronal networks, spike sorting",inserm.fr,3941,fr,,,,,
Alfonso Renart,"Group Leader, Champalimaud Neuroscience Programme, Lisbon, Portugal",https://scholar.google.com/citations?hl=en&user=_Z8XqrUAAAAJ,"Decision Making, Psychophysics, Neural Populations, Neural Networks, Computational Neuroscience",neuro.fchampalimaud.org,3940,pt,,,,,
V Srinivasa Chakravarthy,Indian Institute of Technology Madras,https://scholar.google.com/citations?hl=en&user=4PqxB3gAAAAJ,"Computational neuroscience, computational cardiology, pattern recognition...",ee.iitm.ac.in,3936,in,,,,,
Philip Kragel,Emory University,https://scholar.google.com/citations?hl=en&user=IFATAmkAAAAJ,"neuroscience, emotion, cognition, computational neuroscience",emory.edu,3934,us,,,,,
Ankit B. Patel,"Assistant Professor, Baylor College of Medicine, Rice University",https://scholar.google.com/citations?hl=en&user=Gbe5UncAAAAJ,"AI for Science & Medicine, Deep Machine Learning, Computational Neuroscience, Biologically Inspired Computing, Machine Learning",rice.edu,3933,us,,,,,
Jr-Shin Li,"Electrical and Systems Engineering, Washington University",https://scholar.google.com/citations?hl=en&user=0WVyaVMAAAAJ,"systems and control, computational mathematics, computational neuroscience, quantum control",wustl.edu,3931,us,,,,,
Cliff Kerr,Bill & Melinda Gates Foundation,https://scholar.google.com/citations?hl=en&user=S2OtZ2sAAAAJ,"Epidemiology, Computational neuroscience, Numerical methods",gatesfoundation.org,3924,us,,,,,
Jorge Riera Diaz,Florida International University,https://scholar.google.com/citations?hl=en&user=zNW1ipoAAAAJ,"Neuroimaging, Computational Neuroscience, Electrophysiology",fiu.edu,3897,us,,,,,
Mark Hereld,"Argonne National Laboratory, University of Chicago, Caltech",https://scholar.google.com/citations?hl=en&user=6D8cnJMAAAAJ,"Computational Science, High Performance Computing, Scientific Visualization, Computational Neuroscience",mcs.anl.gov,3881,us,,,,,
"Dong Song, Ph.D.","Associate Professor, University of Southern California",https://scholar.google.com/citations?hl=en&user=noJkQ7wAAAAJ,"Neural Engineering, Computational Neuroscience, Neural Prosthesis, Neuroengineering, Neural",usc.edu,3860,us,,,,,
Martin N. Hebart,"Justus Liebig University, Giessen, Germany",https://scholar.google.com/citations?hl=en&user=Q-n9_FgAAAAJ,"Visual perception, multivariate pattern analysis, neuroimaging, computational neuroscience",psychiat.med.uni-giessen.de,3847,de,,,,,
Laurent Perrinet,INT (UMR 7289) / CNRS - Aix-Marseille Universit√©,https://scholar.google.com/citations?hl=en&user=TVyUV38AAAAJ,"computational neuroscience, neuromorphic engineering, spiking neural networks",univ-amu.fr,3843,fr,,,,,
Ying Lin ,"Sun Yat-sen University, Department of Psychology",https://scholar.google.com/citations?hl=en&user=q9CY1ewAAAAJ,"Computational Neuroscience, Network Analysis, Computational Intelligence, Smart Education",mail.sysu.edu.cn,3842,cn,,,,,
Bradley M Cooke,National Institutes of Health,https://scholar.google.com/citations?hl=en&user=6VnFX7cAAAAJ,"neuroendocrinology, sex differences, computational neuroscience",nih.gov,3831,us,,,,,
Bruno Golosio,"Associate Professor of Applied Physics, University of Cagliari, Italy",https://scholar.google.com/citations?hl=en&user=Fn6KaNMAAAAJ,"Artificial neural networks, Biomedical imaging, computational neuroscience",unica.it,3825,it,,,,,
Jesus Cortes,Full Professor at Ikerbasque. Bio-Bizkaia Health Research Institute. Cruces University ,https://scholar.google.com/citations?hl=en&user=BIfo1BAAAAAJ,"Computational Neuroimaging, Clinical Neuroimaging, Network Mapping, Computational Neuroscience, Applied Data Science",osakidetza.eus,3819,eus,,,,,
Taishin Nomura,"Graduate School of Informatics, Kyoto University",https://scholar.google.com/citations?hl=en&user=3pQWcaoAAAAJ,"Motor Control, Computational Neuroscience, Nonlinear Dynamics, Biomedical Engineering",i.kyoto-u.ac.jp,3813,jp,,,,,
German Mato,Professsor of physics. Researcher CNEA-CONICET,https://scholar.google.com/citations?hl=en&user=LUH06dgAAAAJ,"Computational Neuroscience, Medical Physics",cab.cnea.gov.ar,3809,ar,,,,,
Archana Venkataraman,Johns Hopkins University,https://scholar.google.com/citations?hl=en&user=dDtlmCAAAAAJ,"Medical Image Analysis, Computational Neuroscience, Machine Learning",jhu.edu,3791,us,,,,,
Kazuyuki Samejima,"Professor, Brain science institute, Tamagawa University",https://scholar.google.com/citations?hl=en&user=E7tr_k0AAAAJ,"Computational neuroscience, decision making, reinforcement learning",lab.tamagawa.ac.jp,3778,jp,,,,,
Jan Drugowitsch,"Associate Professor, Harvard Medical School",https://scholar.google.com/citations?hl=en&user=fCUx98wAAAAJ,"Computational Neuroscience, Artificial Intelligence",hms.harvard.edu,3771,us,,,,,
Chung-Chuan Lo,National Tsing Hua University,https://scholar.google.com/citations?hl=en&user=zULxPHYAAAAJ,"Neural network, computational neuroscience, neuroinformatics, neuromorphic engineering",mx.nthu.edu.tw,3770,tw,,,,,
"Hamker, Fred",Technische Universit?t Chemnitz,https://scholar.google.com/citations?hl=en&user=LjZJA1sAAAAJ,"Neurocomputing, Computational Neuroscience, Neurorobotics, Cognition, Learning",informatik.tu-chemnitz.de,3768,de,,,,,
Peter Udo Diehl,Charit®¶ ®C Berlin University Medicine,https://scholar.google.com/citations?hl=en&user=B1LRKM0AAAAJ,"Deep Learning, Artificial Intelligence, Computational Neuroscience, Audiology, Neuromorphic",charite.de,3764,de,,,,,
Manu S Goyal,Washington University School of Medicine,https://scholar.google.com/citations?hl=en&user=AdwONFcAAAAJ,"Neuroimaging, Neurology, Computational neuroscience",mir.wustl.edu,3755,us,,,,,
Ammar Belatreche,"Associate Professor in Computer Science, Faculty of Engineering and Environment",https://scholar.google.com/citations?hl=en&user=DsJo3T8AAAAJ,"Computational intelligence, bio-inspired computing and optimisation, machine learning, data mining, computational neuroscience",northumbria.ac.uk,3753,uk,,,,,
Ulrik R. Beierholm,"Associate professor in Psychology, Durham University",https://scholar.google.com/citations?hl=en&user=dQuDSboAAAAJ,"Computational Neuroscience, Decision Making, Bayesian Inference, Perception, Reinforcement Learning",durham.ac.uk,3750,uk,,,,,
Matthew M Nour,University of Oxford,https://scholar.google.com/citations?hl=en&user=cYPzi0gAAAAJ,"cognitive neuroscience, computational neuroscience, clinical neuroscience, psychiatry, neuroimaging",psych.ox.ac.uk,3745,uk,,,,,
Rosa HM Chan,"Professor, Department of Electrical Engineering, City University of Hong Kong",https://scholar.google.com/citations?hl=en&user=n71R2h8AAAAJ,"Brain-Machine Interface, Computational Neuroscience, Neural Prosthesis, Human-Computer Interaction",cityu.edu.hk,3742,hk,,,,,
Deqiang Qiu,"Associate Professor, Emory University",https://scholar.google.com/citations?hl=en&user=o3pWGl4AAAAJ,"Magnetic Resonance Imaging, Biomedical Engineering, Computational Neuroscience, Machine Learning, Computational Imaging",emory.edu,3717,us,,,,,
Cornelius Weber,Universit?t Hamburg,https://scholar.google.com/citations?hl=en&user=9caowmUAAAAJ,"neural networks, computational neuroscience, cognitive robotics",informatik.uni-hamburg.de,3708,de,,,,,
Xaq Pitkow,"Associate Professor of Computational Neuroscience, Carnegie Mellon University",https://scholar.google.com/citations?hl=en&user=ony4DjAAAAAJ,"Computational Neuroscience, Theoretical Neuroscience, Machine Learning, Control Theory",rice.edu,3688,us,,,,,
Reza Ebrahimpour,"Professor, Sharif University of Technology, IPM (SCS)",https://scholar.google.com/citations?hl=en&user=TCgHw50AAAAJ,"Cognitive Neuroscience, Computational Neuroscience, Neural Engineering, NeuroAI, BCI",sharif.edu,3682,ir,,,,,
Georg Martius,University of T®πbingen and Max Planck Institute for Intelligent Systems,https://scholar.google.com/citations?hl=en&user=b-JF-UIAAAAJ,"artificial intelligence, robotics, machine learning, self-organization, computational neuroscience",uni-tuebingen.de,3677,de,,,,,
"Mohammad M. Herzallah, MD, Ph.D.","Palestinian Neuroscience Initiative, Al-Quds University",https://scholar.google.com/citations?hl=en&user=TPIc7J8AAAAJ,"Cognitive Neuroscience, Computational Neuroscience, Machine Learning, Neurophysiology, Mental Health",alquds.edu,3660,ps,,,,,
Srikanth Ramaswamy,"Assistant Professor, Newcastle University / Fulbright Scholar, MIT",https://scholar.google.com/citations?hl=en&user=sikKD7UAAAAJ,"Neocortex, Neuromodulation, Deep learning, Synaptic plasticity, Computational neuroscience",newcastle.ac.uk,3634,uk,,,,,
Tjeerd W Boonstra,Maastricht University,https://scholar.google.com/citations?hl=en&user=dH8f__0AAAAJ,"mobile brain-body imaging, complex networks, motor control, computational neuroscience, network physiology",maastrichtuniversity.nl,3618,nl,,,,,
Stephen J. Eglen,Cambridge University,https://scholar.google.com/citations?hl=en&user=Y1yginsAAAAJ,"Computational Neuroscience, Developmental Neuroscience, Retina",cam.ac.uk,3603,uk,,,,,
